"No.","Time","Source","Destination","Protocol","Length","Info"
"267","58.839323","3.4.1","host","USB","72","URB_INTERRUPT in"
"269","59.389130","3.4.1","host","USB","72","URB_INTERRUPT in"
"271","60.014479","3.4.1","host","USB","72","URB_INTERRUPT in"
"273","60.205399","3.4.1","host","USB","72","URB_INTERRUPT in"
"275","60.344329","3.4.1","host","USB","72","URB_INTERRUPT in"
"277","60.814402","3.4.1","host","USB","72","URB_INTERRUPT in"
"279","61.740322","3.4.1","host","USB","72","URB_INTERRUPT in"
"281","61.885155","3.4.1","host","USB","72","URB_INTERRUPT in"
"283","62.424452","3.4.1","host","USB","72","URB_INTERRUPT in"
"285","64.364388","3.4.1","host","USB","72","URB_INTERRUPT in"
"287","64.468174","3.4.1","host","USB","72","URB_INTERRUPT in"
"289","64.844400","3.4.1","host","USB","72","URB_INTERRUPT in"
"291","64.925394","3.4.1","host","USB","72","URB_INTERRUPT in"
"293","65.273508","3.4.1","host","USB","72","URB_INTERRUPT in"
"295","66.217209","3.4.1","host","USB","72","URB_INTERRUPT in"
"297","66.338417","3.4.1","host","USB","72","URB_INTERRUPT in"
"299","66.535251","3.4.1","host","USB","72","URB_INTERRUPT in"
"301","67.143427","3.4.1","host","USB","72","URB_INTERRUPT in"
"303","68.012386","3.4.1","host","USB","72","URB_INTERRUPT in"
"305","68.168476","3.4.1","host","USB","72","URB_INTERRUPT in"
"307","68.354624","3.4.1","host","USB","72","URB_INTERRUPT in"
"309","68.777543","3.4.1","host","USB","72","URB_INTERRUPT in"
"311","70.132496","3.4.1","host","USB","72","URB_INTERRUPT in"
"313","70.277669","3.4.1","host","USB","72","URB_INTERRUPT in"
"315","70.497577","3.4.1","host","USB","72","URB_INTERRUPT in"
"317","74.070560","3.4.1","host","USB","72","URB_INTERRUPT in"
"319","74.186577","3.4.1","host","USB","72","URB_INTERRUPT in"
"321","74.389373","3.4.1","host","USB","72","URB_INTERRUPT in"
"323","74.487575","3.4.1","host","USB","72","URB_INTERRUPT in"
"325","74.725414","3.4.1","host","USB","72","URB_INTERRUPT in"
"327","74.840608","3.4.1","host","USB","72","URB_INTERRUPT in"
"329","75.263729","3.4.1","host","USB","72","URB_INTERRUPT in"
"331","75.379383","3.4.1","host","USB","72","URB_INTERRUPT in"
"333","78.032645","3.4.1","host","USB","72","URB_INTERRUPT in"
"335","78.113662","3.4.1","host","USB","72","URB_INTERRUPT in"
"337","78.790791","3.4.1","host","USB","72","URB_INTERRUPT in"
"339","78.912468","3.4.1","host","USB","72","URB_INTERRUPT in"
"341","79.358496","3.4.1","host","USB","72","URB_INTERRUPT in"
"343","79.462489","3.4.1","host","USB","72","URB_INTERRUPT in"
"345","81.350723","3.4.1","host","USB","72","URB_INTERRUPT in"
"347","81.449867","3.4.1","host","USB","72","URB_INTERRUPT in"
"349","83.175774","3.4.1","host","USB","72","URB_INTERRUPT in"
"351","83.314764","3.4.1","host","USB","72","URB_INTERRUPT in"
"353","83.592539","3.4.1","host","USB","72","URB_INTERRUPT in"
"355","83.725769","3.4.1","host","USB","72","URB_INTERRUPT in"
"357","84.843589","3.4.1","host","USB","72","URB_INTERRUPT in"
"359","84.965670","3.4.1","host","USB","72","URB_INTERRUPT in"
"361","86.059812","3.4.1","host","USB","72","URB_INTERRUPT in"
"363","86.169878","3.4.1","host","USB","72","URB_INTERRUPT in"
"365","86.401624","3.4.1","host","USB","72","URB_INTERRUPT in"
"367","86.494599","3.4.1","host","USB","72","URB_INTERRUPT in"
"369","87.507633","3.4.1","host","USB","72","URB_INTERRUPT in"
"371","87.623612","3.4.1","host","USB","72","URB_INTERRUPT in"
"373","87.901635","3.4.1","host","USB","72","URB_INTERRUPT in"
"375","88.028845","3.4.1","host","USB","72","URB_INTERRUPT in"
"377","88.260934","3.4.1","host","USB","72","URB_INTERRUPT in"
"379","88.376990","3.4.1","host","USB","72","URB_INTERRUPT in"
"381","88.619650","3.4.1","host","USB","72","URB_INTERRUPT in"
"383","88.735762","3.4.1","host","USB","72","URB_INTERRUPT in"
"385","89.013668","3.4.1","host","USB","72","URB_INTERRUPT in"
